date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:58	365090/365090	---MCZ	200	added ('OK')	text/css	etag:%2259222-5e1a655736580-gzip%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/dsfr/dsfr.min.css	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/dsfr/dsfr.min.css	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:22:59	9636/9636	---M-Z	200	added ('OK')	text/css	etag:%2225a4-5e1a655736580-gzip%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/component/link/link.min.css	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/component/link/link.min.css	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:22:59	4355/4355	---M-Z	200	added ('OK')	text/css	etag:%221103-5e1a655736580-gzip%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/component/form/form.min.css	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/component/form/form.min.css	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:22:59	9211/9211	---M-Z	200	added ('OK')	text/css	etag:%2223fb-5e1a655736580-gzip%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/component/radio/radio.min.css	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/component/radio/radio.min.css	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:00	2732/2732	---M-Z	200	added ('OK')	text/css	etag:%22aac-5e1a655736580-gzip%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/component/modal/modal.min.css	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/component/modal/modal.min.css	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:00	5871/5871	---M-Z	200	added ('OK')	text/css	etag:%2216ef-5e1a655736580-gzip%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/component/consent/consent.min.css	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/gallery/gallery-dse/dist/component/consent/consent.min.css	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:00	355/355	---M-Z	200	added ('OK')	text/css	etag:%22163-5e1a65554e100-gzip%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/css/authentification/login.css	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/css/authentification/login.css	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:01	12382/12382	---M-Z	200	added ('OK')	text/css	etag:%22305e-5e1a65591ea00-gzip%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/themes/hornet-skin-etudesenfrance/arborescence.css	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/themes/hornet-skin-etudesenfrance/arborescence.css	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:01	2643/2643	---M-Z	200	added ('OK')	text/css	etag:%22a53-5e1a65554e100-gzip%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/css/authentification/fresque.css	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/css/authentification/fresque.css	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:01	2694/2694	---M-Z	200	added ('OK')	text/css	etag:%22a86-5e1a65554e100-gzip%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/css/authentification/roadmap.css	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/css/authentification/roadmap.css	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:02	4245/4245	---M--	200	added ('OK')	image/png	etag:%221095-5e1a655736580%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/Logo_EEF_mobile.png	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/Logo_EEF_mobile.png	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:02	33981/33981	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jun%202022%2014:23:01%20GMT	https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html?_csrf=20c6c71d-aaa0-4cb8-a9d1-845a78392162&codeLangue=FR	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login6c77.html	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:02	33842/33842	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jun%202022%2014:23:02%20GMT	https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html?_csrf=20c6c71d-aaa0-4cb8-a9d1-845a78392162&codeLangue=ES	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/loginb1ca.html	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:06	14884/14884	---M--	200	added ('OK')	image/png	etag:%223a24-5e1a655736580%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/typo_mc.png	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/typo_mc.png	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:06	31309/31309	---M--	200	added ('OK')	image/png	etag:%227a4d-5e1a655736580%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/typo_mesri.png	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/typo_mesri.png	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:06	9023/9023	---M--	200	added ('OK')	image/png	etag:%22233f-5e1a655736580%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/logo-cge.png	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/logo-cge.png	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:07	8619/8619	---M--	200	added ('OK')	image/jpeg	etag:%2221ab-5e1a655736580%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/logo-cdefi.jpg	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/logo-cdefi.jpg	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:18	21199/21199	---M--	200	added ('OK')	image/png	etag:%2252cf-5e1a655736580%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/Pantone_France_Universites_Couleur.png	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/Pantone_France_Universites_Couleur.png	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:18	87454/87454	---M--	200	added ('OK')	image/png	etag:%221559e-5e1a655736580%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/LOGO_CF_CARRE_COULEUR.png	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/LOGO_CF_CARRE_COULEUR.png	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:18	6020/6020	---M--	200	added ('OK')	image/png	etag:%221784-5e1a655736580%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/logo-institut-francais.png	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/logo-institut-francais.png	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:18	5817/5817	---M--	200	added ('OK')	image/png	etag:%2216b9-5e1a655736580%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/logo-af.png	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/logo-af.png	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:20	33622/33622	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jun%202022%2014:23:19%20GMT	https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html?_csrf=20c6c71d-aaa0-4cb8-a9d1-845a78392162&codeLangue=EN	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login4b23.html	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=ES)
14:23:21	438638/438638	---M--	200	added ('OK')	image/png	etag:%226b16e-5e1a655736580%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/quiz-image.png?_csrf=20c6c71d-aaa0-4cb8-a9d1-845a78392162	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/quiz-image7928.png	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:21	686344/686344	---M--	200	added ('OK')	image/jpeg	etag:%22a7908-5e1a655736580%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/logo-fei.jpg	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/authentification/logo-fei.jpg	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
14:23:21	2673/2673	---M--	200	added ('OK')	image/gif	etag:%22a71-5e1a65591ea00%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/themes/hornet-skin-etudesenfrance/assets/treeview-loading.gif	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/themes/hornet-skin-etudesenfrance/assets/treeview-loading.gif	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/themes/hornet-skin-etudesenfrance/arborescence.css)
14:23:21	1802/1802	---M--	200	added ('OK')	image/png	etag:%2270a-5e1a65591ea00%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/themes/hornet-skin-etudesenfrance/assets/treeview-sprite.png	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/themes/hornet-skin-etudesenfrance/assets/treeview-sprite.png	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/themes/hornet-skin-etudesenfrance/arborescence.css)
14:23:22	38089/38089	---M--	200	added ('OK')	text/html		https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/css/authentification/${imagePortail.imageBase64}	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/css/authentification/${imagePortail.html	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/css/authentification/login.css)
14:24:04	909350/909350	---M--	200	added ('OK')	image/png	etag:%22de026-5e1a655736580%22	https://pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/image_accueil1.png?_csrf=20c6c71d-aaa0-4cb8-a9d1-845a78392162	G:/Owns/1Httrack/CF_Site/pastel.diplomatie.gouv.fr/etudesenfrance/static-3.57.4/images/image_accueil17928.png	(from https://pastel.diplomatie.gouv.fr/etudesenfrance/dyn/public/authentification/login.html;jsessionid=0FABEF900F42530B440B1DA874E3F31B.jvm01g154-3?codeLangue=EN)
